Date,Sales
2013-01-01,48.4
2013-01-02,49.63
2013-01-03,44.66
2013-01-04,56.7
2013-01-05,62.87
2013-01-06,51.03
2013-01-07,51.81
2013-01-08,63.24
2013-01-09,67.87
2013-01-10,58.2
2013-01-11,50.56
2013-01-12,50.42
2013-01-13,45.59
2013-01-14,44.28
2013-01-15,54.52
2013-01-16,58.77
2013-01-17,54.59
2013-01-18,57.58
2013-01-19,58.04
2013-01-20,53.8
2013-01-21,49.38
2013-01-22,55.48
2013-01-23,57.46
2013-01-24,62.87
2013-01-25,60.21
2013-01-26,60.62
2013-01-27,60.86
2013-01-28,59.22
2013-01-29,57.92
2013-01-30,56.86
2013-01-31,46.73
2013-02-01,51.13
2013-02-02,52.15
2013-02-03,52.22
2013-02-04,66.03
2013-02-05,72.4
2013-02-06,59.07
2013-02-07,53.23
2013-02-08,62.96
2013-02-09,76.49
2013-02-10,74.96
2013-02-11,69.22
2013-02-12,64.01
2013-02-13,54.54
2013-02-14,55.92
2013-02-15,67.88
2013-02-16,68.32
2013-02-17,57.96
2013-02-18,64.04
2013-02-19,57.59
2013-02-20,57.39
2013-02-21,68.16
2013-02-22,67.17
2013-02-23,59.89
2013-02-24,64.09
2013-02-25,76.78
2013-02-26,68.86
2013-02-27,65.92
2013-02-28,63.95
2013-03-01,57.16
2013-03-02,54.86
2013-03-03,58.24
2013-03-04,69.83
2013-03-05,69.61
2013-03-06,56.16
2013-03-07,60.86
2013-03-08,78.4
2013-03-09,84.36
2013-03-10,78.22
2013-03-11,73.96
2013-03-12,75.87
2013-03-13,75.09
2013-03-14,67.97
2013-03-15,63.27
2013-03-16,71.02
2013-03-17,71.65
2013-03-18,59.85
2013-03-19,62.68
2013-03-20,67.79
2013-03-21,67.77
2013-03-22,68.19
2013-03-23,75.39
2013-03-24,76.84
2013-03-25,64.84
2013-03-26,62.4
2013-03-27,65.04
2013-03-28,60.97
2013-03-29,67.57
2013-03-30,75.36
2013-03-31,72.99
2013-04-01,71.86
2013-04-02,72.77
2013-04-03,69.43
2013-04-04,66.08
2013-04-05,75.16
2013-04-06,77.79
2013-04-07,61.1
2013-04-08,63.18
2013-04-09,68.22
2013-04-10,69.22
2013-04-11,72.95
2013-04-12,73.02
2013-04-13,72.18
2013-04-14,84.76
2013-04-15,79.44
2013-04-16,70.17
2013-04-17,75.28
2013-04-18,75.1
2013-04-19,71.97
2013-04-20,64.23
2013-04-21,82.33
2013-04-22,81.64
2013-04-23,67.38
2013-04-24,67.79
2013-04-25,69.24
2013-04-26,73.24
2013-04-27,77.17
2013-04-28,72.85
2013-04-29,68.9
2013-04-30,70.9
2013-05-01,67.8
2013-05-02,64.54
2013-05-03,71.34
2013-05-04,70.88
2013-05-05,67.95
2013-05-06,71.25
2013-05-07,81.95
2013-05-08,87.53
2013-05-09,76.99
2013-05-10,58.81
2013-05-11,65.8
2013-05-12,62.48
2013-05-13,69.61
2013-05-14,77.76
2013-05-15,71.43
2013-05-16,60.93
2013-05-17,66.07
2013-05-18,68.79
2013-05-19,65.06
2013-05-20,61.01
2013-05-21,61.63
2013-05-22,60.24
2013-05-23,70.35
2013-05-24,81.43
2013-05-25,70.9
2013-05-26,60.07
2013-05-27,66.48
2013-05-28,67.52
2013-05-29,69.93
2013-05-30,62.78
2013-05-31,57.5
2013-06-01,50.25
2013-06-02,46.54
2013-06-03,54.69
2013-06-04,64.52
2013-06-05,66.03
2013-06-06,56.08
2013-06-07,53.61
2013-06-08,49.35
2013-06-09,49.36
2013-06-10,53.8
2013-06-11,58.83
2013-06-12,58.48
2013-06-13,56.48
2013-06-14,50.23
2013-06-15,51.48
2013-06-16,53.84
2013-06-17,59.42
2013-06-18,61.84
2013-06-19,58.74
2013-06-20,60.47
2013-06-21,58.11
2013-06-22,54.78
2013-06-23,48.47
2013-06-24,46.86
2013-06-25,51.68
2013-06-26,53.45
2013-06-27,53.92
2013-06-28,50.27
2013-06-29,52.07
2013-06-30,49.93
2013-07-01,54.61
2013-07-02,60.88
2013-07-03,49.24
2013-07-04,49.28
2013-07-05,47.18
2013-07-06,48.75
2013-07-07,49.89
2013-07-08,51.88
2013-07-09,45.16
2013-07-10,45.34
2013-07-11,47.48
2013-07-12,44.09
2013-07-13,42.66
